Individual death claims settlement by % of policies,Individual death claims settlement by % of policies,Individual death claims settlement by % of policies,Individual death claims settlement by % of policies,Individual death claims settlement by % of policies,Individual death claims settlement by % of policies
Life Insurer,Total claims,Claims paid,Claims paid,Claims repudiated,Claims repudiated
,No. of policies,No. of policies,% of total claims,No. of policies,% of total claims
Aditya Birla Sun Life,10008,9815,98.07,186,1.86
Aegon Life,720,713,99.03,6,0.83
Ageas Federal,2694,2614,97.03,57,2.12
Aviva Life,1672,1645,98.39,27,1.61
Bajaj Allianz,21050,20844,99.02,195,0.93
Bharti Axa Life,3203,3174,99.09,27,0.84
Canara HSBC,2813,2769,98.44,41,1.46
Edelweiss Tokio,995,976,98.09,19,1.91
Exide Life,7279,7213,99.09,7,0.1
Future Generali,1664,1600,96.15,64,3.85
HDFC Life,27122,26758,98.66,136,0.5
ICICI Prudential,22281,21795,97.82,398,1.79
India First,4937,4785,96.92,143,2.9
Kotak Life,7133,7049,98.82,60,0.84
Max Life,31035,30830,99.34,205,0.66
PNB Met Life,8586,8357,97.33,224,2.61
Pramerica Life,1061,1043,98.3,16,1.51
Reliance Nippon,13730,13548,98.67,174,1.27
Sahara Life,1166,1132,97.08,16,1.37
SBI Life,55786,54140,97.05,1541,2.76
Shriram Life*,5865,5620,95.82*,163,11.61
SUD Life,2951,2875,97.42,74,2.51
Tata AIA Life,8069,7950,98.53,117,1.45
LIC,1367104,1349865,98.74,8713,0.64
